k,EOSSPHlowvis,SplitSPHlowvis,IterSPHlowvis,EOSSPHhighvis,SplitSPHhighvis,IterSPHhighvis,prediction,IterSPHlowvis2,IterSPHhighvis2,prediction2
475.0,3.499941667638873,3.499941667638873,5.999900001666639,3.583273612106465,3.583273612106465,5.999900001666639,6.104434106744445,4.91658472358794,4.91658472358794,4.984249576655437,
500.0,3.583273612106465,3.583273612106465,6.083231946134231,3.666605556574057,3.666605556574057,6.166563890601823,6.263017245250075,4.9999166680555325,5.083248612523125,5.113732167038072,
525.0,3.749937501041649,3.749937501041649,6.249895835069416,3.749937501041649,3.749937501041649,6.249895835069416,6.417682935843343,5.166580556990716,5.166580556990716,5.2400161745943015,
550.0,3.749937501041649,3.8332694455092415,6.4165597240046,3.8332694455092415,3.8332694455092415,6.4165597240046,6.5687079030605275,5.249912501458309,5.249912501458309,5.363327543961854,
575.0,3.8332694455092415,3.916601389976834,6.5832236129397845,3.916601389976834,3.916601389976834,6.5832236129397845,6.7163377495808545,5.416576390393494,5.416576390393494,5.483866808888586,
600.0,3.916601389976834,3.999933334444426,6.666555557407377,3.916601389976834,3.916601389976834,6.666555557407377,6.860791646534663,5.499908334861086,5.499908334861086,5.601812921853057,
625.0,3.999933334444426,3.999933334444426,6.833219446342561,3.999933334444426,3.999933334444426,6.833219446342561,7.00226615231632,5.5832402793286775,5.5832402793286775,5.71732637211222,
650.0,4.083265278912018,4.083265278912018,6.916551390810153,4.083265278912018,4.083265278912018,6.999883335277746,7.140938350006237,5.749904168263862,5.749904168263862,5.830551747395771,
675.0,4.16659722337961,4.16659722337961,7.083215279745337,4.16659722337961,4.16659722337961,7.083215279745337,7.276968446359017,5.833236112731455,5.833236112731455,5.941619855971085,
700.0,4.249929167847203,4.249929167847203,7.16654722421293,4.249929167847203,4.249929167847203,7.249879168680522,7.410501941165645,5.916568057199047,5.916568057199047,6.050649497920026,
725.0,4.333261112314795,4.333261112314795,7.333211113148114,4.333261112314795,4.333261112314795,7.333211113148114,7.541671450728596,5.999900001666639,5.999900001666639,6.157748954000143,
750.0,4.416593056782387,4.416593056782387,7.416543057615707,4.416593056782387,4.416593056782387,7.499875002083298,7.6705982505571075,6.166563890601823,6.166563890601823,6.263017245250076,
775.0,4.499925001249979,4.499925001249979,7.583206946550891,4.499925001249979,4.499925001249979,7.583206946550891,7.7973935883835415,6.166563890601823,6.249895835069416,6.366545205062936,
800.0,4.499925001249979,4.499925001249979,7.666538891018483,4.499925001249979,4.499925001249979,7.7498708354860755,7.922159807961447,6.333227779537007,6.333227779537007,6.468416396763573,
825.0,4.583256945717571,4.583256945717571,7.833202779953668,4.583256945717571,4.583256945717571,7.833202779953668,8.044991315942779,6.4165597240046,6.4165597240046,6.5687079030605275,
850.0,4.666588890185164,4.666588890185164,7.916534724421259,4.666588890185164,4.666588890185164,7.916534724421259,8.16597541781199,6.499891668472192,6.499891668472192,6.667491008583351,
875.0,4.749920834652756,4.749920834652756,8.083198613356444,4.749920834652756,4.749920834652756,8.083198613356444,8.285193043920264,6.5832236129397845,6.5832236129397845,6.764831792687075,
900.0,4.749920834652756,4.749920834652756,8.166530557824036,4.833252779120348,4.833252779120348,8.166530557824036,8.402719382779585,6.666555557407377,6.749887501874968,6.860791646534664,
925.0,4.833252779120348,4.833252779120348,8.249862502291629,4.833252779120348,4.833252779120348,8.249862502291629,8.51862443569704,6.749887501874968,6.833219446342561,6.955427725954014,
950.0,4.91658472358794,4.91658472358794,8.33319444675922,4.91658472358794,4.91658472358794,8.416526391226812,8.632973504370884,6.833219446342561,6.916551390810153,7.048793349558477,
975.0,4.9999166680555325,4.9999166680555325,8.499858335694405,4.9999166680555325,4.9999166680555325,8.499858335694405,8.745827621093655,6.916551390810153,6.999883335277746,7.140938350006238,
1000.0,4.9999166680555325,5.083248612523125,8.583190280161997,5.083248612523125,5.083248612523125,8.583190280161997,8.857243929609236,6.999883335277746,7.083215279745337,7.231909384968799,
